learning_rate,hidden_size,reg_lambda,batch_size,activation,best_val_acc,final_train_loss
0.0001,512,0.0001,64,sigmoid,0.106,2.4057766156642275
0.001,64,0.0001,128,relu,0.2775,2.0264977231096166
0.01,128,0.001,128,sigmoid,0.277,2.4385952951255665
0.001,512,0.01,64,tanh,0.361,11.671662121265488
0.001,64,0.001,128,relu,0.2865,2.1075054388860357
0.0001,256,0.001,128,sigmoid,0.098,2.8486770980363625
0.01,64,0.01,64,relu,0.4155,2.493748553601625
0.001,128,0.0001,32,tanh,0.3685,1.7672069714125935
0.001,512,0.01,128,sigmoid,0.2,12.383191228457774
0.0001,64,0.0001,128,tanh,0.202,2.222319407598481
0.0001,512,0.001,64,tanh,0.2365,3.132387944221877
0.01,64,0.01,32,tanh,0.422,2.16142618869089
0.0001,128,0.01,32,relu,0.246,4.717213850195909
0.0001,256,0.0001,64,tanh,0.2405,2.200168185518601
0.01,512,0.001,128,relu,0.4085,2.5236777321882906
0.01,64,0.0001,64,sigmoid,0.2925,2.115596450448352
0.001,512,0.01,128,relu,0.334,12.014227330870707
0.001,128,0.0001,64,sigmoid,0.206,2.2929991239516716
0.01,512,0.01,32,sigmoid,0.3005,6.20125834503512
0.01,512,0.01,32,relu,0.445,5.621749015546042
0.001,64,0.001,128,tanh,0.2975,2.0902393288781718
0.001,256,0.001,32,relu,0.3695,2.24165378521466
0.001,512,0.01,128,tanh,0.34,11.96224475605078
0.0001,512,0.0001,128,tanh,0.2035,2.3035022212570064
0.001,64,0.001,32,relu,0.368,1.9167440114749223
0.0001,128,0.0001,32,tanh,0.255,2.0991379272764306
0.0001,512,0.001,64,sigmoid,0.105,3.333305665388
0.001,64,0.01,128,relu,0.2625,3.389946519424373
0.0001,256,0.001,32,sigmoid,0.112,2.8193065322914306
0.001,128,0.001,32,relu,0.3795,2.01372983348455
0.01,256,0.0001,128,sigmoid,0.265,2.203115943024936
0.001,256,0.0001,64,sigmoid,0.2085,2.327259257419206
0.001,256,0.01,128,tanh,0.3265,6.989675937352514
0.01,256,0.0001,32,relu,0.4575,1.2112138584109449
0.01,64,0.0001,64,relu,0.424,1.4613453801598502
0.0001,512,0.01,128,relu,0.194,12.510215530923636
0.0001,512,0.01,128,sigmoid,0.1435,12.613553125227694
0.001,256,0.0001,32,relu,0.374,1.7679821738954387
0.01,512,0.01,128,tanh,0.4045,9.843774675311707
0.001,256,0.0001,128,tanh,0.3395,1.9522628150109178
0.0001,512,0.001,32,tanh,0.2855,3.048476987902049
0.01,256,0.01,64,tanh,0.423,4.915676308650148
0.001,64,0.001,64,sigmoid,0.162,2.4152634002788584
0.0001,64,0.0001,128,relu,0.168,2.242450102890213
0.01,512,0.001,32,sigmoid,0.3335,2.8515665292474606
0.001,256,0.0001,64,tanh,0.3635,1.8648223548974934
0.001,128,0.01,128,relu,0.301,4.5368370034909535
0.01,512,0.001,32,relu,0.4615,2.0701713374167214
0.0001,64,0.01,32,tanh,0.2495,3.464768075504752
0.0001,256,0.001,64,relu,0.246,2.6675792789546318
0.001,512,0.001,32,tanh,0.382,2.712085211569443
0.01,512,0.001,64,sigmoid,0.3095,3.003127370058557
0.0001,512,0.01,32,sigmoid,0.1445,12.551775330992644
0.001,512,0.0001,128,sigmoid,0.2115,2.385975153735779
0.0001,256,0.01,128,sigmoid,0.1265,7.5653019433457995
0.0001,512,0.001,64,relu,0.244,3.1624065580169614
0.0001,256,0.001,64,sigmoid,0.09,2.835832861568581
0.0001,128,0.01,128,sigmoid,0.094,4.990310562471047
0.0001,256,0.01,32,sigmoid,0.1415,7.4422115735575565
0.001,64,0.01,64,tanh,0.3365,3.1909677892219013
0.01,128,0.01,128,tanh,0.403,3.7970932660820425
0.0001,128,0.0001,128,sigmoid,0.1105,2.3808225327610484
0.01,512,0.0001,64,sigmoid,0.312,2.108766627965529
0.01,512,0.001,64,tanh,0.4235,2.405368653773344
0.0001,64,0.01,64,tanh,0.211,3.511716110115781
0.01,512,0.0001,32,tanh,0.4455,1.3251180913241716
0.0001,256,0.01,128,relu,0.187,7.392155080546632
0.0001,512,0.0001,64,relu,0.2295,2.2191525516767427
0.0001,512,0.0001,128,sigmoid,0.1115,2.4166785517661107
0.001,256,0.0001,32,tanh,0.3835,1.751607528311535
0.001,512,0.01,32,tanh,0.393,11.150240108177417
0.0001,128,0.01,32,sigmoid,0.1245,4.956235749862424
0.001,256,0.01,32,tanh,0.3805,6.502397765575239
0.01,64,0.01,128,tanh,0.394,2.787347673043258
0.001,64,0.0001,64,sigmoid,0.1515,2.295668887034381
0.001,64,0.001,64,tanh,0.3465,2.0150309842035736
0.001,128,0.0001,32,sigmoid,0.219,2.2739761175008257
0.01,128,0.01,128,relu,0.4075,3.7822304199929286
0.0001,64,0.0001,64,sigmoid,0.105,2.407570097958406
0.01,128,0.0001,64,tanh,0.426,1.494514642179566
0.001,256,0.01,64,relu,0.3475,6.818904774609712
0.01,64,0.001,64,sigmoid,0.2815,2.2088141388571962
0.0001,256,0.01,64,sigmoid,0.1215,7.51254736811641
0.001,64,0.0001,32,sigmoid,0.1645,2.2825698029556545
0.01,256,0.001,64,sigmoid,0.303,2.529797424224755
0.001,64,0.0001,64,relu,0.3325,1.8787445186514617
0.01,256,0.0001,64,sigmoid,0.3115,2.077364351639194
0.001,512,0.001,64,tanh,0.3805,2.802601436183992
0.01,512,0.01,64,tanh,0.4215,8.115761130446637
0.01,512,0.001,128,sigmoid,0.284,3.156128694018985
0.0001,512,0.01,32,tanh,0.2905,12.242601930488945
0.001,512,0.001,64,relu,0.354,2.8311758509299576
0.01,512,0.01,64,relu,0.4235,8.091050158962886
0.001,64,0.01,128,tanh,0.315,3.3082695330711918
0.0001,64,0.001,64,relu,0.1735,2.3743627382144004
0.001,64,0.01,32,sigmoid,0.229,3.512288945353804
0.0001,128,0.01,64,relu,0.2175,4.839487372359258
0.001,512,0.0001,32,tanh,0.388,1.7923971136254213
0.01,64,0.01,32,sigmoid,0.28,2.686301682318046
0.01,512,0.0001,128,sigmoid,0.2935,2.2376008960166147
0.001,512,0.01,32,sigmoid,0.2375,11.683943854904934
0.001,512,0.001,32,sigmoid,0.25,3.2618226534864734
0.0001,64,0.01,32,relu,0.2325,3.496919473620462
0.0001,256,0.001,32,tanh,0.2765,2.5367358502419695
0.0001,512,0.001,128,relu,0.2205,3.232212086358171
0.001,256,0.001,128,relu,0.3095,2.4594174472203996
0.0001,64,0.01,32,sigmoid,0.111,3.7346504386176935
0.0001,128,0.0001,64,tanh,0.235,2.1617219845956606
